date,layer,QFLAG2_min,QFLAG2_max,QFLAG2_mean,QFLAG2_median,QFLAG2_count,QFLAG2_std,QFLAG2_majority,LAI_min,LAI_max,LAI_mean,LAI_median,LAI_count,LAI_std,LAI_majority,PPI_min,PPI_max,PPI_mean,PPI_median,PPI_count,PPI_std,PPI_majority,FAPAR_min,FAPAR_max,FAPAR_mean,FAPAR_count,FAPAR_std,FAPAR_median,FAPAR_majority,NDVI_min,NDVI_max,NDVI_mean,NDVI_median,NDVI_count,NDVI_std,NDVI_majority
2017-04-13 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-04-16 10:50:31,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-04-19 10:56:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-04-23 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-04-26 10:50:31,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-04-29 10:56:51,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-05-03 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-05-06 10:50:31,LAM,1.0,1.0,1.0,1.0,178,0.0,1.0,0.1991999894380569,3.631199836730957,0.8010336200842697,0.5532000064849854,178,0.7156301830974593,0.2583999931812286,0.0076999999582767,1.3959999084472656,0.3627594296294864,0.2636999785900116,101,0.3148560898194508,0.0891999974846839,0.0653999969363212,0.8335999846458435,0.3049544859468267,178,0.1966074528322206,0.2671999931335449,0.2265999913215637,0.1252000033855438,0.8629999756813049,0.400570773006825,0.3913499712944031,178,0.1883262121355079,0.3983999788761139
2017-05-09 10:56:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-05-13 10:40:31,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-05-16 10:50:31,LAM,1.0,1.0,1.0,1.0,2397,0.0,1.0,0.0007999999797903,2.7751998901367188,0.0575461732359845,0.0184000004082918,2393,0.1886521848368954,0.0143999997526407,0.0078999996185302,1.1847000122070312,0.2548899786812919,0.1901499927043914,140,0.232374939384934,0.0552999973297119,0.0001999999949475,0.7453999519348145,0.0365743020399441,2397,0.0776014400800446,0.0148000000044703,0.0001999999949475,0.060599997639656,0.7689999938011169,0.1075487578467224,0.0848999992012977,2397,0.0823148625476783,0.0780000016093254
2017-05-19 10:56:51,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-05-23 10:40:31,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-05-26 10:50:31,LAM,1.0,1.0,1.0,1.0,2413,0.0,1.0,0.023199999704957,3.026399850845337,0.0968039773877013,0.0535999983549118,2413,0.2060023964119666,0.0504000000655651,0.0005999999702908,1.1900999546051023,0.2337826514730648,0.1352999955415725,196,0.2496426846390503,0.0005999999702908,0.0211999993771314,0.7555999755859375,0.0807817619567188,2413,0.0736190638509178,0.0618999972939491,0.0576999969780445,0.0939999967813491,0.7886999845504761,0.1478324096527921,0.1273999959230423,2413,0.0777419149500825,0.1190999969840049
2017-05-29 10:56:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-06-02 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-06-05 10:50:31,LAM,1.0,1.0,1.0,1.0,2373,0.0,1.0,0.1136000007390976,4.668799877166748,0.3427546614089496,0.2671999931335449,2373,0.4070457505760295,0.2239999920129776,0.0002999999851454,2.0360000133514404,0.1188941283403582,0.06700000166893,2202,0.1966223694077637,0.0182999987155199,0.0965999960899353,0.8935999870300293,0.2145703649701722,2373,0.0871250653273962,0.1981000006198883,0.1806000024080276,0.1539999991655349,0.8812999725341797,0.2924103027549515,0.2773000001907348,2373,0.0852474252603942,0.2660999894142151
2017-06-08 10:56:51,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-06-12 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-06-15 10:50:31,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-06-18 10:56:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-06-22 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
