system:index,lwnet_mean,p_mean,rin_mean,rli_mean,swnet_mean,ta_mean,vpd_mean,ws_mean,.geo
2021-03-14_0,-40.790682870370375,973.7403873697914,59.37160951967593,297.1415740740741,50.86687861689814,5.377420679728213,2.1922243097790024,2.9202529563831052,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-15_0,-83.92748842592593,975.1099918619792,166.48650390625,250.1743055555556,142.5900875289352,4.799689865112327,3.473338596102648,4.204824442830854,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-16_0,-86.08285879629629,978.9964453125002,172.16366030092593,246.95148148148147,147.299400318287,4.52023849487307,3.0328410344299015,5.618419869134247,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-17_0,-88.71240740740744,982.3459342447917,175.44087167245368,240.4550115740741,149.95166521990737,3.4605384826660384,2.9065788812315567,4.7997933582855055,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-18_0,-82.68646990740741,983.8262304687499,169.29923466435187,240.2485416666667,144.48825882523147,1.9284924825032779,2.419365046176661,4.079914588180484,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-19_0,-71.65826388888887,982.617841796875,159.8197222222222,249.73188657407408,136.11672883210358,0.8294801076253483,1.5249750355734546,1.6186914468864337,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-20_0,-77.8357638888889,987.7044498697916,181.42604415328412,236.43019675925925,148.32498697068957,-0.2733202616373471,1.9602416027679335,3.656103038849526,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-21_0,-59.924907407407396,983.1691813151042,138.88569444444443,254.75033564814817,114.41006944444445,-0.04452362060544601,2.2608206929295975,1.5259322641114057,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-22_0,-79.77840277777777,981.067521158854,183.8407407407407,244.71346064814816,149.9154861111111,2.782939529418968,2.851796392972527,5.4689967868162705,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-23_0,-70.06479166666666,987.7179329427084,149.4269907407407,260.55238425925916,123.94842592592592,4.275522486368838,3.133471872533549,4.083220473216879,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-24_0,-70.09087962962964,989.104580078125,156.17296296296297,267.8128472222222,131.51303240740745,5.256942367553734,2.999733253790609,3.8962315842068542,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-25_0,-82.74292824074074,988.022568359375,209.12840277777775,262.1523263888889,176.9390277777778,6.133405939737979,3.118456439240795,1.360454554786368,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-26_0,-86.02202546296293,988.3488444010414,215.24516203703706,269.23354166666667,182.29736111111106,8.814882532755556,4.745175322975331,1.961585652115182,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
